iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
149,4369.06689453125,0.8994140625,832.5309031148962,613,7,40.41040482750429,14.08386245709178,11.047983575413227,afb03835ee603453d91ed0fd75e94eb4345cded462c22d0a9508fcc01d974832,e6c45a08adfc4d287315b40b851c189c5e6b7c8b18fe71dbd47ea6951e445a32,5168.9794921875
150,4359.63037109375,0.8916015625,848.3734443948172,612,6,40.76280901736975,14.002309964373232,11.0144531635829,de7d51a57dc2e762600d030542962e8005a4eee93bb94619c9a9ef1e28774062,6814701b8fa90e4a3a43de5dd8c85ce86767ac094fa93a395457d10cbe0f855c,5177.3212890625
151,4354.36328125,0.8828125,845.3561177971166,612,6,41.280936366389,13.97343498572782,11.018852995439234,e7e9ccb9d189b1c209ae4acf8914daf502ae8db43dc08d0874a153e39e2a7798,158b1bad46019f9a0f0d061636a786dcd13591b7d3c50ef32a09d28c096c09a8,5151.99755859375
152,4347.66796875,0.880859375,852.6571647875378,620,6,40.82904662860336,14.165622992286789,10.926477913390482,3fcc8d61716fdfe4705afda4c4a884503b514ec7e198cff4824ab069e8d775b4,7c29c06dd69db73723c4c65aa4063960a8192397fa79f47a47357038e41bab64,5183.73046875
153,4351.1005859375,0.8828125,848.8001152620636,601,6,39.82952669699791,14.322200092031498,11.082361410434439,4b4292aa14739fa28db7d4f289557b4a02e05ccdf4c910d8048f0df58c689b3b,10a9f64e28acb2b2c967e9a258ff958a4a7fa1dd749c60c7401eed12e6b88e50,5195.53076171875
154,4348.57421875,0.890625,850.3837840726004,622,7,40.08568983886651,14.090895448083463,11.108388102081644,239a84f61dd325608dc1f59c838438dd8c275dbace6395f539b4d526a9ff3ebd,f668fae66410c2d0779fcd753c94988e8652ad1af2ae5feff0920877533655e7,5156.08544921875
155,4339.486328125,0.8828125,838.3935620601019,611,7,40.20266242132647,14.189881118231039,11.154317974497312,bae5936cc8ed780bb021855d3aa3f4e8ca1f94a28e51675b9e04defa3042ee12,bf5f65941579a32f91d1bd6a3a6af79a0ab289fce90ca67325a743bd2b8b296f,5191.71337890625
156,4342.3095703125,0.8916015625,862.4005670096079,623,12,40.12713877690075,14.459041702551831,11.443317168252564,b8a094b7b68c2e63811a8f86b9149305d39057b2beafa0866e329627e0646391,77bad91a28e8077857af6a430a20adac485e091b696e377a84cd6a8bcab67503,5186.67529296875
157,4357.1865234375,0.8779296875,849.4307039138781,601,6,39.752374473691305,14.487863290560039,11.228267586112871,7aeab82c927bba76cb83773f998b779bfe61ab96c655c4066bce77887a507240,b3b0e47a6cd846f747d8fa47aac4644153f0ef633afd865c0b1a585df5a00dc5,5172.4033203125
158,4343.41650390625,0.8916015625,844.4130292613609,611,8,40.668629706453444,14.349859874555348,11.312884443641083,124f97b9fb02e86237c74573b55dca5fb63c603eab56cf817bc3817332409343,8e6db6704a3ce37f81b3a33b055bb21b78a957260f3c5bca7a6174397fb18762,5175.85595703125
159,4346.939453125,0.8681640625,864.9522923696782,611,6,40.09566825552645,14.436210786488788,11.465471825443599,542ca30b4529bd3a4c765d5ceabdc6d99508514d60e131cb29d0e86baa450265,adb8d7e5ef6d0aa602433e24792f80fa1bba88f7424b0998316841c543834b96,5192.06591796875
160,4344.1142578125,0.8681640625,845.3402501131279,618,7,40.16462445226381,14.491062857389947,11.456594480147963,31af6d2ab759b6517208031cd194a0e51da3c759d9069feb164edbcc654a3343,b5cda15fa5339ab4ec136a3119a0b30c7670fb30976c140c9881b2424c31cc7a,5164.59130859375
161,4337.44970703125,0.8818359375,851.1899164732542,613,8,41.057473809487654,14.616312436836644,11.260186208223038,898951070b7e22225c26b0e5a8672b8041e0dfe9c558b774c5fdbdc123b20bcd,ec04eee7504c0d5d5ab538a484e69f038873375f27596642e3cfabd2828e5687,5165.892578125
162,4331.505859375,0.8759765625,846.7363817855713,619,5,41.70640350492075,14.275556294357013,11.20980371265424,d019700cd45198d43b60e4433f9a92ac57d6d4ee89d52ae836dcfe262e68db85,47f57585bf12963c1926f5b89cc443569a24782ecc661e4ea52aa69fc7228de8,5151.015625
163,4335.37939453125,0.875,854.1540629532925,614,6,41.231985637263485,14.335677022328506,11.076832200429187,3baf5a7d0b33534216ed0a4b3e3bf64eb5c8e951157496391cd53f175a251bed,709cde163a3a9c0da1d18fd17fbc4c7520bb2b76080cb2913be1923d7d8b1956,5161.32568359375
164,4329.1689453125,0.8828125,855.6884517280098,611,6,41.366365534894314,14.593757623070909,11.283848691894425,ce5d3d398e61d50e44d9fa69a93db8d5e6bda1870127ab956038b24ce3d995a7,6cbf61d785b052b263a660e16e1523835a5021cffc74d46606c062a707e4078a,5184.18798828125
165,4325.87109375,0.8671875,843.9108197867947,610,7,41.43074756295688,14.59326267993117,11.375720587442302,7a24cda1d3920ea9d748447f7f37b1596d7b8470476a304e9cd53b7117b72972,5c4f40bb8d2647a59833749d61c8fcef4d5cc1c4955e5b1e66b74478efd1d877,5176.18701171875
166,4325.49658203125,0.8759765625,843.8101893039096,605,6,41.05973752821433,14.622832153742422,11.47219744673932,a88e8460d726d71876629e853bec0d130c4c4500592c71cfdb2f9d3108d52665,7ec40a5e6ff7ebefc4f1e2b6050921142a736b451b19e6b6e157dfdb6cb86225,5169.65478515625
167,4319.32763671875,0.8779296875,861.6757548643366,613,7,41.455296431768026,14.530284899191798,11.424587212707088,052b8bea9f329150ec98ffadff981797fb7102519e6df09b4876cf4491b23ed0,d687547a68d8c4e637eb875b338b4c1795b472a3ce4cbfacbf9aaa9c8076a4b2,5199.6220703125
168,4317.99853515625,0.8662109375,846.4960710837228,611,7,40.742500345255635,14.63628164450153,11.361657082620635,212496c5233073677447512481bf5ba23c8048dfe6d94cc091f786395f28b256,2a4529ef676515dc7b17981441953e9405f7818ec5ba0046dc85c7386bc5bdcc,5197.76708984375
169,4319.32373046875,0.900390625,855.3146232435405,610,6,41.38801091535087,14.474722418256748,11.349017193622485,cec31ca7f8dd4ae07e74c48360e6b30e4896a4ea028620aa67e78f66f4cda0cc,cd4d49c2dabe01204d0cab91b5f437a7015d4c805629e3f7854eb290a7ec61b2,5207.228515625
