method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
arff,22,test,-8.911946296691895,0.6178089380264282,0.11248988658189774,-0.165564626455307,,0.4423999786376953,
arff,23,train,-8.937167167663574,2.371976137161255,0.11444695293903351,-0.1702854186296463,,0.4581874907016754,
arff,23,validation,-8.968716621398926,2.393460750579834,0.11250073462724686,-0.16845861077308655,,0.45399999618530273,
arff,23,test,-8.973648071289062,2.3654327392578125,0.11387559026479721,-0.16218772530555725,,0.4554999768733978,
arff,24,train,-8.928893089294434,0.7296841740608215,0.11132773756980896,-0.14633603394031525,,0.47391247749328613,
arff,24,validation,-8.960465431213379,0.736225426197052,0.10933016240596771,-0.1463574767112732,,0.4668999910354614,
arff,24,test,-8.943662643432617,0.7303064465522766,0.11085116118192673,-0.1464061439037323,,0.4649999737739563,
arff,25,train,-8.912126541137695,0.9236076474189758,0.11283884942531586,-0.18568956851959229,,0.47472497820854187,
arff,25,validation,-8.923821449279785,0.9284663200378418,0.11130336672067642,-0.18674322962760925,,0.4705999791622162,
arff,25,test,-8.934243202209473,0.9282591938972473,0.11304031312465668,-0.18510769307613373,,0.4659999907016754,
arff,26,train,-8.791857719421387,1.280296802520752,0.11309293657541275,-0.21989397704601288,,0.46523749828338623,
arff,26,validation,-8.830163955688477,1.2877520322799683,0.11198066174983978,-0.19881728291511536,,0.4667999744415283,
arff,26,test,-8.832651138305664,1.2777544260025024,0.11305702477693558,-0.21605895459651947,,0.4624999761581421,
arff,27,train,-8.943609237670898,1.0046006441116333,0.11587213724851608,-0.16050700843334198,,0.45794999599456787,
arff,27,validation,-8.958353996276855,1.0097495317459106,0.11448892205953598,-0.1577650010585785,,0.4575999975204468,
arff,27,test,-8.956354141235352,1.0059770345687866,0.11591556668281555,-0.16092321276664734,,0.4585999846458435,
arff,28,train,-8.907853126525879,0.832062304019928,0.10939943790435791,-0.18523240089416504,,0.453249990940094,
arff,28,validation,-8.939913749694824,0.8325783014297485,0.10720060020685196,-0.16378866136074066,,0.46469998359680176,
arff,28,test,-8.91179084777832,0.8374581933021545,0.10924062877893448,-0.16715256869792938,,0.45809999108314514,
arff,29,train,-8.788034439086914,0.9341163635253906,0.11501584202051163,-0.26074787974357605,,0.4420875012874603,
arff,29,validation,-8.808368682861328,0.9360486268997192,0.11382980644702911,-0.26098260283470154,,0.4350999891757965,
arff,29,test,-8.791089057922363,0.9346274733543396,0.11532137542963028,-0.25728902220726013,,0.4408999979496002,
joint_mlp,0,train,-9.77661324,0.21245952,0.443718642,1.38872356e-05,,,
joint_mlp,0,validation,-9.81374836,0.212318033,0.453208983,1.38850683e-05,,,
joint_mlp,0,test,-9.77931023,0.212055415,0.435268551,1.39197855e-05,,,
joint_mlp,1,train,-9.97673798,0.179423273,0.24872613,1.644435e-05,,,
